,word1,word2,feq
421,옥천공설운동장,공설,9
422,공설,운동장,9
423,식사,제공,9
424,평화,평화시장,9
425,평화시장,시장,9
426,시장,닭똥,9
427,명의,선택,9
428,요리연구가,연구가,8
429,축제,현장,8
430,네티즌,관심,8
431,커피,전문점,8
432,관광,관광산업,8
433,푸드트럭,트럭,8
434,푸드,푸드테크,8
435,푸드테크,테크,8
436,반려,반려동물,8
437,배달,요청,8
438,메리,메리어트,8
439,앰배서,배서,8
440,청정,자연,8
441,문화체육관광부와,체육,8
442,리뉴얼,오픈,8
443,음식관광,관광,8
444,이전,수준,8
445,사회,사회관계망서비스,8
446,사회관계망서비스,관계,8
447,관계,서비스,8
448,살만,세상,8
449,역대,최대,8
450,피자,가게,8
451,의약품,안전,8
452,롯데호텔,호텔,8
453,가족,연인,8
454,강서,강서구,8
455,이닝,레스토랑,8
456,다양,메뉴,8
457,관악,관악구,8
458,공전,공전남,8
459,단체,회식,8
460,맞춤,맞춤형,8
461,서초,서초구,8
462,대구,달서,8
463,데일리,데일리메일,8
464,데일리메일,메일,8
465,사회관계,사회관계망서비스,8
466,사회관계망서비스,서비스,8
467,쉐린,스타,8
468,소속,소속사,8
469,월드,오픈,8
470,중화,중화요리,8
471,소비자,입맛,8
472,데이터,연구소,8
473,전문,전문음식점,8
474,육성,육성연,8
475,먹거리,관광,8
476,수제,수제버거,8
477,스마트,스마트폰,8
478,배달음식,주문,8
479,곡성,곡성군,8
480,세계음식문화거리,거리,8
481,개월,개월간,8
482,청정,청정지역,8
483,라디오,슬기,8
484,슬기,라디오생활,8
485,라디오생활,생활,8
486,생활,방송일,8
487,현웅,아나운서,8
488,아나운서,출연,8
489,관련,동영상,8
490,동영상,보기,8
491,대학교,총장,8
492,관계자,참석,8
493,지속,지속가능,8
494,지속가능,가능,8
495,연구,결과,8
496,그랜드,하얏트,8
497,학과,학과장,8
498,그램,캡처,8
499,축제,코로나,8
500,롯데,롯데마트,8
501,김해,김해시,8
502,캡처,배달,8
503,공공,공공배달앱,8
504,공공배달앱,배달,8
505,금요일,일요일,8
506,청담,청담동,8
507,남사당,바우,8
508,바우,바우덕,8
509,바우덕,축제,8
510,휴가,휴가철,8
511,치맥페스티벌,페스티벌,8
512,가게,주인,8
513,곱창,곱창집,8
514,사진,온라인,8
515,청원,청원생명축제,8
516,청원생명축제,생명,8
517,테마,공원,8
518,마라,마라탕,8
519,마라샹궈,샹궈,8
520,제일제당,제당,8
521,포함,한국인,8
522,무전,무전취식,8
523,무전취식,취식,8
524,부장,부장판사,8
525,부장판사,판사,8
526,경험,제공,8
527,수제맥주,맥주,8
528,닭갈비,갈비,8
529,머리카락,환불,8
530,튜브,커뮤니티,8
531,유튜버,춘천,8
532,유튜버,강원도,8
533,본격적,휴가철,8
534,수원시,팔달,8
535,옥천,포도,8
536,떡볶이,주문,8
537,후기,고객,8
538,레스토랑,포리스트,8
539,닭똥집,명물,8
540,로드,번째,8
541,레전드,전드,8
542,코로나,사회적,8
543,토수산시장,수산,8
544,해제,주말,8
545,제천,제천시,8
546,상자,배달,8
547,요리,요리연구가,7
548,전국,곳곳,7
549,선물,선물세트,7
550,선물세트,세트,7
551,농림,농림축산식품부,7
552,농림축산식품부,축산,7
553,숙박시설,시설,7
554,모습,사진,7
555,농식품,식품,7
556,소외,소외계층,7
557,소외계층,계층,7
558,온라인,온라인커뮤니티,7
559,온라인커뮤니티,커뮤니티,7
560,고객,취소,7
561,광주광역시,광역시,7
562,화천,화천군,7
563,고객,사장,7
564,커뮤니티,갈무리,7
565,백종,백종원,7
566,피자,배달,7
567,채식,채식주의자,7
568,채식주의자,주의자,7
569,외식산업,산업,7
570,대표,메뉴,7
571,코로나,엔데믹,7
572,식품의약품안전처,의약품,7
573,코로나,방역,7
574,진천,진천군,7
575,쉐린,가이드,7
576,나눔,행사,7
577,후라,후라이드,7
578,후라이드,이드,7
579,음식문화,조성,7
580,파라,파라다이스,7
581,파라다이스,다이스,7
582,삼성,삼성동,7
583,박정남,정남,7
584,인근,위치,7
585,트렌드,반영,7
586,플래그,플래그십,7
587,한류열풍,열풍,7
588,영국,데일리,7
589,식감과,감과,7
590,요리,전문점,7
591,영상,공개,7
592,화제,현지,7
593,소피,소피텔,7
594,머니,황예림,7
595,황예림,예림,7
596,인천공항,공항,7
597,주말,저녁,7
598,무료,제공,7
599,이태원,핼러윈,7
600,회수,요청,7
601,사건,사건반장,7
602,사건반장,반장,7
603,지연,이유,7
604,연수,연수구,7
605,개성,인삼,7
606,두륜산,도립,7
607,도립,도립공원,7
608,도립공원,공원,7
609,트리,클럽,7
610,대면,대면행사,7
611,대면행사,행사,7
612,활용,건강,7
613,대표,관광,7
614,코로나,발생,7
615,삼산,삼산면,7
616,의령,의령군,7
617,대표,대표축제,7
618,연남,연남동,7
619,연남동,남동,7
620,외식조리학과,조리,7
621,학과장,김영균,7
622,전액,환불,7
623,패키지,상품,7
624,일원,특색,7
625,롯데마트,마트,7
626,서비스,제공,7
627,무한,무한리필,7
628,무한리필,리필,7
629,키오스,오스,7
630,선임,선임기자,7
631,홈플러스,플러스,7
632,판사,사기,7
633,축제,기간,7
634,대구,대표,7
635,리조트,리조트부문,7
636,리조트부문,부문,7
637,축제,청원,7
638,래지,농촌,7
639,방송,햇님,7
640,복합,복합리조트,7
641,복합리조트,리조트,7
642,공식,오픈,7
643,미식,경험,7
644,강동,강동구,7
645,특급호텔,호텔,7
646,치킨,토요일,7
647,삼성,삼성카드,7
648,자사,회원,7
649,회원,프랜차이즈,7
650,프랜차이즈,요일별,7
651,요일별,구매,7
652,구매,구매액,7
653,구매액,분석,7
654,전체,금요일,7
